id,Title,Content,SKU,"Product Type","Parent Product ID",URL,Filename
838,"Pink Mixed Layer Wedding Cake","Elegant 4 layer wedding cake with each layer a different style. Mix of buttercream and fondant.

Cake pricing varies greatly depending on the level of detail in the design and the size of the cake itself. The best thing to do is to inquire directly with a Palermo sales consultant regarding more exact pricing by phone or email.",WC-0001,simple,0,https://ccdev2026.wpenginepowered.com/wp-content/uploads/2021/02/pink-wedding-cake.jpeg,pink-wedding-cake.jpeg
849,"MTV Birthday Cake","This MTV birthday cake is tasty and beautiful. It has 4 square layers decorated with pink, black and gold fondant. It is topped with the iconic MTV logo as a cake topper. Once to try this you'll never go back!",BDC-0002,simple,0,https://ccdev2026.wpenginepowered.com/wp-content/uploads/2021/06/MTV-cake-1-scaled.jpeg,MTV-cake-1-scaled.jpeg
851,"Disney Castle Birthday Cake","Mason's 1st birthday cake was extravagant! The Disney World inspired custom cake is decorated and designed to look like Cinderella's Castle. Created with fondant, the Disney custom cake also shows the characters from some of the most iconic Disney movies of all time like Mickey Mouse, The Lion King, Snow White, Peter Pan and more!",BDC-0001,simple,0,https://ccdev2026.wpenginepowered.com/wp-content/uploads/2021/06/Castle-Cake.jpeg,Castle-Cake.jpeg
858,"Elephant Baby Shower Cake","This elephant baby shower cake for Mark was designed with two different shaped layers and topped with a fondant sculpted elephant. The cake is decorated with blue, green and brown fondant and a fondant bow. ",BSC-0001,simple,0,https://ccdev2026.wpenginepowered.com/wp-content/uploads/2021/08/1_PHOTO.jpg,1_PHOTO.jpg
860,"Tiny Shoes Gender Reveal Cake","The perfect gender reveal cake for a small party! This gender reveal cake was designed with pink and blue color for a girl or a boy. The cake is styled as a drip cake with pink and blue icing and buttercream flowers. The cake is topped with fondant sculpting shoes for a baby girl or baby boy.",GRC-0001,simple,0,https://ccdev2026.wpenginepowered.com/wp-content/uploads/2021/08/Screen-Shot-2021-08-23-at-11.18.08-PM.png|https://ccdev2026.wpenginepowered.com/wp-content/uploads/2021/08/2_PHOTO.heic,Screen-Shot-2021-08-23-at-11.18.08-PM.png|2_PHOTO.heic
863,"Little Prince Baby Shower Cake","This impressive baby shower cake for a boy has three mixed layers. The Little Prince Baby Shower Cake has baby blue and white fondant decorated layers with a middle layer of silver sprinkles. The baby shower cake is topped with a fondant sculpted elephant.",BSC-0002,simple,0,https://ccdev2026.wpenginepowered.com/wp-content/uploads/2021/08/3_PHOTO.jpg,3_PHOTO.jpg
871,"Mickey & Minnie Birthday Cakes","The perfect cake for any boy or girl that loves Disney! Both the Mickey Mouse Cake and the Minnie Mouse Cake are made of two round layers and decorated with fondant on the Disney cakes. Bring the magic of Disney to any birthday party, baby shower, or children's event.",BDC-0003,simple,0,https://ccdev2026.wpenginepowered.com/wp-content/uploads/2021/08/1_PHOTO-1-scaled.jpg,1_PHOTO-1-scaled.jpg
873,"Spooky Halloween Birthday Cake","The Spooky Halloween Birthday Cake is a great addition to any Halloween party or Halloween themed birthday party. The three layer cake has round layers of chocolate fondant. The Halloween birthday cake is decorated with icing as cobwebs to add some extra spookiness! ",BDC-0004,simple,0,https://ccdev2026.wpenginepowered.com/wp-content/uploads/2021/08/2_PHOTO-scaled.jpg,2_PHOTO-scaled.jpg
878,"Semi Naked Wedding Cake","Trendy and versatile, the semi naked cake can be used in different themed weddings. From a rustic country theme to a more sophisticated look. This freehand style will just need fresh flowers to finalize its look. 

<em>Venue wedding cakes are cakes that are included with your package from your wedding venue. Extra charges may be added when you change or add features to the cake.

Cake pricing varies greatly depending on the level of detail in the design and the size of the cake itself. The best thing to do is to inquire directly with a Palermo sales consultant regarding more exact pricing by phone or email.</em>",VWD-0001,simple,0,https://ccdev2026.wpenginepowered.com/wp-content/uploads/2021/09/Screen-Shot-2022-07-11-at-10.54.25-PM.png,Screen-Shot-2022-07-11-at-10.54.25-PM.png
879,"Simple White/Ivory Wedding Cake","Clean, modern & sleek is the look that the simple white wedding cake will add to your special day. The smooth perfection on it can be completed with cake topper and fresh flowers.

<em>Venue wedding cakes are cakes that are included with your package from your wedding venue. Extra charges may be added when you change or add features to the cake. 

Cake pricing varies greatly depending on the level of detail in the design and the size of the cake itself. The best thing to do is to inquire directly with a Palermo sales consultant regarding more exact pricing by phone or email.</em>",VWC-0002,simple,0,https://ccdev2026.wpenginepowered.com/wp-content/uploads/2021/09/Screen-Shot-2022-07-11-at-10.58.32-PM.png|https://ccdev2026.wpenginepowered.com/wp-content/uploads/2021/09/Screen-Shot-2022-07-11-at-10.58.40-PM.png|https://ccdev2026.wpenginepowered.com/wp-content/uploads/2021/09/venue2.jpeg,Screen-Shot-2022-07-11-at-10.58.32-PM.png|Screen-Shot-2022-07-11-at-10.58.40-PM.png|venue2.jpeg
881,"Pin Dots White/Ivory Wedding Cake","This beautiful buttercream cake has a delicate piped small pindots and trimmed with beautiful pearls. This timeless design can be decorated with fresh flowers for a final touch. 

<em>Venue wedding cakes are cakes that are included with your package from your wedding venue. Extra charges may be added when you change or add features to the cake. 

Cake pricing varies greatly depending on the level of detail in the design and the size of the cake itself. The best thing to do is to inquire directly with a Palermo sales consultant regarding more exact pricing by phone or email.</em>",VWC-0003,simple,0,https://ccdev2026.wpenginepowered.com/wp-content/uploads/2021/09/Screen-Shot-2022-07-11-at-11.00.21-PM.png|https://ccdev2026.wpenginepowered.com/wp-content/uploads/2021/09/3PindotsIvoryWeddingCake.jpg|https://ccdev2026.wpenginepowered.com/wp-content/uploads/2021/09/VWC-0003.jpeg|https://ccdev2026.wpenginepowered.com/wp-content/uploads/2021/09/Screen-Shot-2022-07-11-at-11.01.46-PM.png,Screen-Shot-2022-07-11-at-11.00.21-PM.png|3PindotsIvoryWeddingCake.jpg|VWC-0003.jpeg|Screen-Shot-2022-07-11-at-11.01.46-PM.png
883,"Rustic Lines White/Ivory Wedding Cake","The rustic garden wedding cake is a popular design and perfect for any wedding style. You can go from rustic all the way to elegant with this design and it never goes out of style.

<em>Venue wedding cakes are cakes that are included with your package from your wedding venue. Extra charges may be added when you change or add features to the cake. 

Cake pricing varies greatly depending on the level of detail in the design and the size of the cake itself. The best thing to do is to inquire directly with a Palermo sales consultant regarding more exact pricing by phone or email.</em>",VWC-0004,simple,0,https://ccdev2026.wpenginepowered.com/wp-content/uploads/2021/09/4RusticLinesWhiteWeddingCake.jpg|https://ccdev2026.wpenginepowered.com/wp-content/uploads/2021/09/4RusticLinesIvoryWeddingCake.jpg|https://ccdev2026.wpenginepowered.com/wp-content/uploads/2021/09/VWC-0004.jpeg,4RusticLinesWhiteWeddingCake.jpg|4RusticLinesIvoryWeddingCake.jpg|VWC-0004.jpeg
885,"Rustic Stucco Ivory/White Wedding Cake","For a rustic themed wedding. This cake is the perfect selection! This design fits all couples that prefer the simple and clean, but still want a touch of romance. 

<em>Venue wedding cakes are cakes that are included with your package from your wedding venue. Extra charges may be added when you change or add features to the cake. 

Cake pricing varies greatly depending on the level of detail in the design and the size of the cake itself. The best thing to do is to inquire directly with a Palermo sales consultant regarding more exact pricing by phone or email.</em>",VWC-0005,simple,0,https://ccdev2026.wpenginepowered.com/wp-content/uploads/2021/09/5WhiteStuccoIvoryWeddingCake.jpg|https://ccdev2026.wpenginepowered.com/wp-content/uploads/2021/09/5RusticStuccoWhite4tierWeddingCake.jpg|https://ccdev2026.wpenginepowered.com/wp-content/uploads/2021/09/5RusticStuccoIvoryWeddingCake.jpg|https://ccdev2026.wpenginepowered.com/wp-content/uploads/2021/09/5RusticStuccoIvory4tierWeddingCake.jpg|https://ccdev2026.wpenginepowered.com/wp-content/uploads/2021/09/VWC-0005.jpeg,5WhiteStuccoIvoryWeddingCake.jpg|5RusticStuccoWhite4tierWeddingCake.jpg|5RusticStuccoIvoryWeddingCake.jpg|5RusticStuccoIvory4tierWeddingCake.jpg|VWC-0005.jpeg
